District Code,District,School Code,School,Days In Year,Grade 1-8 Students,American Indian,Asian,Pacific Islander,Black,Hispanic,White,Two or More Races,Special Education,Bilingual,Low Income,Grade Span,Confirmed Reported Grade 1-8 Data
31015,Edmonds,3461,Seaview Elementary,162,0.20%,0.00%,0.08%,0.62%,0.09%,0.19%,0.24%,0.07%,0.17%,0.12%,0.33%,K-6,Yes
31015,Edmonds,3463,Madrona Nongraded,162,0.19%,0.00%,0.06%,0.00%,0.19%,0.30%,0.20%,0.11%,0.37%,0.21%,0.36%,PK-8,Yes
32356,Central Valley,3465,Summit School,167,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.12%,0.37%,0.00%,0.29%,K-8,Yes
32416,Riverside,3466,Riverside Middle School,172,0.46%,0.71%,0.00%,0.87%,0.29%,0.07%,0.49%,0.19%,1.25%,0.00%,0.78%,8-Jun,Yes
1147,Othello,3471,McFarland Middle School,163,1.21%,0.00%,0.00%,0.00%,0.00%,1.28%,0.69%,0.00%,1.96%,1.74%,1.45%,8-Jun,Yes
3017,Kennewick,3472,Park Middle School,172,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8-Jun,Yes
5313,Crescent,3473,Crescent School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-12,No
6117,Camas,3474,Lacamas Heights Elementary,158,0.16%,0.00%,0.00%,0.00%,0.00%,0.04%,0.17%,0.30%,0.32%,0.11%,0.61%,K-5,Yes
8122,Longview,3475,Cascade Middle School,163,0.91%,0.74%,0.20%,0.61%,2.15%,1.27%,0.62%,1.98%,1.50%,0.82%,1.38%,8-Jun,Yes
15201,Oak Harbor,3477,Broadview Elementary,165,1.09%,0.00%,0.44%,0.10%,1.67%,1.78%,1.02%,0.91%,1.45%,1.41%,1.68%,K-5,Yes
17001,Seattle,3478,Kimball Elementary School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-5,No
17403,Renton,3485,Hazelwood Elementary School,164,0.43%,0.30%,0.16%,0.00%,1.14%,0.84%,0.28%,1.02%,0.64%,0.61%,1.28%,K-5,Yes
17406,Tukwila,3488,Tukwila Elementary,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PK-5,No
17412,Shoreline,3489,Parkwood Elementary,159,1.14%,0.21%,0.99%,1.03%,0.50%,1.18%,1.27%,1.36%,1.84%,1.23%,1.40%,K-6,Yes
17414,Lake Washington,3490,Thoreau Elementary,163,0.47%,0.00%,0.25%,0.00%,1.69%,0.66%,0.49%,0.45%,1.44%,1.19%,1.81%,K-5,Yes
17415,Kent,3491,Park Orchard Elementary School,161,1.40%,1.24%,0.64%,3.80%,1.55%,1.70%,1.03%,1.50%,2.58%,1.39%,1.88%,PK-6,Yes
17417,Northshore,3493,Canyon Park Middle School,162,0.34%,0.00%,0.01%,0.41%,0.93%,0.72%,0.20%,1.00%,0.45%,0.70%,0.81%,9-Jul,Yes
20402,Klickitat,3494,Klickitat Elem & High,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-12,No
27010,Tacoma,3498,Skyline,163,0.60%,0.61%,0.53%,1.84%,0.99%,0.70%,0.47%,0.58%,0.68%,0.51%,0.89%,PK-5,Yes
27320,Sumner,3499,Sumner Middle School,165,0.39%,0.00%,0.00%,0.00%,0.00%,0.66%,0.32%,0.38%,0.89%,0.66%,0.69%,8-Jun,Yes
27400,Clover Park,3500,Woodbrook Middle School,170,0.71%,6.18%,0.02%,0.72%,1.19%,0.72%,0.59%,0.59%,0.83%,1.57%,0.91%,8-Jun,Yes
31015,Edmonds,3503,Lynnwood Elementary,162,0.60%,0.21%,0.25%,0.15%,0.18%,0.82%,0.78%,0.37%,1.88%,0.71%,1.04%,K-6,Yes
31015,Edmonds,3504,Meadowdale Elementary,162,0.77%,4.32%,0.17%,0.62%,0.40%,0.97%,0.83%,1.11%,1.14%,0.59%,1.30%,K-6,Yes
32081,Spokane,3506,Indian Trail Elementary,168,0.45%,0.00%,0.00%,2.38%,1.79%,1.44%,0.27%,0.65%,0.98%,0.48%,0.90%,PK-6,Yes
33206,Columbia (Stevens),3508,Columbia High And Elementary,170,3.58%,2.94%,0.00%,0.00%,0.00%,2.79%,3.87%,3.71%,4.47%,0.00%,4.35%,PK-12,Yes
36140,Walla Walla,3510,Garrison Middle School,170,0.42%,0.00%,0.00%,0.00%,0.00%,0.65%,0.28%,0.03%,0.63%,0.82%,0.75%,8-Jun,Yes
8404,Woodland,3513,Yale Elementary,163,1.27%,0.00%,0.00%,0.00%,0.00%,0.92%,1.30%,0.00%,1.84%,0.00%,2.58%,K-5,Yes
11001,Pasco,3515,Robert Frost Elementary,176,0.20%,0.00%,0.00%,0.00%,0.00%,0.19%,0.25%,0.07%,0.18%,0.14%,0.20%,PK-6,Yes
17001,Seattle,3517,McClure Middle School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8-Jun,No
17001,Seattle,3518,Fairmount Park Elementary School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PK-5,No
17210,Federal Way,3519,Adelaide Elementary School,159,0.51%,0.00%,0.09%,1.80%,0.20%,0.68%,0.18%,0.36%,0.38%,0.71%,0.69%,PK-5,Yes
17403,Renton,3521,Renton Park Elementary School,164,1.03%,0.00%,0.27%,0.85%,1.89%,0.96%,0.54%,1.75%,2.09%,1.27%,1.47%,K-5,Yes
17405,Bellevue,3522,International School,161,0.25%,0.00%,0.08%,0.00%,0.62%,0.52%,0.38%,0.14%,0.27%,0.08%,0.34%,12-Jun,Yes
17408,Auburn,3525,Lea Hill Elementary School,161,0.47%,7.14%,0.00%,0.00%,0.06%,0.15%,0.69%,1.06%,0.78%,0.00%,0.61%,PK-5,Yes
17412,Shoreline,3527,Melvin G Syre Elementary,158,0.11%,0.00%,0.00%,0.00%,0.13%,0.18%,0.08%,0.23%,0.57%,0.40%,0.54%,K-6,Yes
17414,Lake Washington,3529,Mann Elementary,163,0.01%,0.00%,0.01%,0.00%,0.00%,0.02%,0.01%,0.00%,0.01%,0.02%,0.03%,K-5,Yes
20403,Roosevelt,3530,Roosevelt Elementary School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6-Jan,No
25101,Ocean Beach,3531,Long Beach Elementary School,165,0.02%,0.00%,0.00%,0.00%,0.00%,0.06%,0.01%,0.00%,0.00%,0.06%,0.03%,K-4,Yes
27402,Franklin Pierce,3532,Elmhurst Elementary School,165,0.45%,0.00%,0.07%,1.38%,0.52%,0.49%,0.42%,0.32%,0.61%,0.36%,0.51%,K-5,Yes
31002,Everett,3533,Jefferson Elementary,164,0.75%,1.22%,0.85%,0.00%,0.38%,0.89%,0.71%,0.76%,0.85%,0.88%,0.91%,K-5,Yes
31015,Edmonds,3534,Chase Lake Elementary,162,0.23%,0.00%,0.00%,0.21%,0.09%,0.22%,0.18%,0.73%,0.45%,0.25%,0.39%,K-6,Yes
31015,Edmonds,3536,Brier Elementary,162,0.46%,1.23%,0.16%,0.00%,0.31%,1.34%,0.34%,0.16%,0.94%,1.20%,1.14%,K-6,Yes
31025,Marysville,3537,Sunnyside Elementary,166,0.17%,0.30%,0.31%,3.92%,0.30%,0.11%,0.14%,0.15%,0.19%,0.19%,0.20%,K-5,Yes
32363,West Valley (Spokane),3538,Centennial Middle School,180,1.22%,1.51%,0.37%,0.00%,1.81%,1.86%,1.17%,0.81%,1.64%,2.88%,1.95%,8-Jun,Yes
34003,North Thurston,3539,Lakes Elementary School,163,0.31%,0.41%,0.06%,0.99%,0.38%,0.29%,0.24%,0.55%,0.29%,0.27%,0.59%,K-5,Yes
34111,Olympia,3540,Leland P Brown Elementary,163,0.48%,0.00%,0.00%,0.00%,0.34%,0.90%,0.37%,0.69%,0.59%,0.35%,0.74%,K-5,Yes
36250,College Place,3541,John Sager Middle School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8-Jun,No
6037,Vancouver,3543,Jason Lee Middle School,161,1.07%,1.04%,0.03%,10.12%,6.73%,0.72%,0.72%,2.07%,2.47%,2.05%,2.04%,8-Jun,Yes
6119,Battle Ground,3545,Laurin Middle School,159,0.09%,0.00%,0.00%,0.00%,0.00%,0.05%,0.09%,0.15%,0.20%,0.12%,0.17%,8-May,Yes
17210,Federal Way,3547,Camelot Elementary School,159,0.36%,0.00%,0.12%,0.31%,0.67%,0.77%,0.27%,0.23%,0.71%,0.35%,0.42%,PK-5,Yes
17414,Lake Washington,3548,Audubon Elementary,163,0.51%,0.00%,0.48%,0.00%,1.43%,0.53%,0.48%,0.72%,1.92%,0.57%,1.92%,K-5,Yes
17415,Kent,3550,Lake Youngs Elementary School,161,0.04%,0.00%,0.01%,0.21%,0.12%,0.08%,0.02%,0.03%,0.13%,0.01%,0.12%,PK-6,Yes
18303,Bainbridge Island,3552,Capt Johnston Blakely Elem Sch,165,0.01%,0.00%,0.00%,0.00%,0.00%,0.06%,0.01%,0.00%,0.07%,0.00%,0.00%,K-4,Yes
19028,Easton,3554,Easton School,169,0.57%,8.09%,0.00%,0.00%,0.00%,0.25%,0.26%,0.89%,3.08%,0.00%,0.75%,K-12,Yes
21303,White Pass,3555,White Pass Elementary School,167,1.61%,0.60%,0.00%,0.00%,0.00%,2.07%,1.60%,0.00%,1.80%,0.00%,2.01%,K-6,Yes
6037,Vancouver,3556,Vancouver Home Connection,161,3.20%,1.24%,4.97%,0.00%,3.11%,4.91%,2.81%,6.69%,6.76%,2.52%,3.60%,K-12,Yes
27003,Puyallup,3557,Fruitland Elementary,163,1.51%,0.31%,0.84%,0.77%,2.39%,1.95%,1.44%,1.55%,2.72%,1.53%,2.84%,K-6,Yes
27003,Puyallup,3558,Wildwood Elementary,163,0.96%,0.46%,0.36%,1.02%,1.76%,0.95%,0.96%,0.84%,0.96%,1.38%,1.37%,PK-6,Yes
10309,Republic,3559,Republic Junior High,173,0.26%,0.92%,0.00%,0.00%,0.58%,0.00%,0.11%,0.50%,0.06%,0.00%,0.37%,8-Jul,Yes
31015,Edmonds,3560,Alderwood Middle School,162,1.23%,8.95%,0.15%,0.82%,0.71%,1.88%,1.43%,0.90%,2.37%,1.77%,2.12%,8-Jul,Yes
31201,Snohomish,3561,Riverview Elementary,159,0.94%,1.26%,0.25%,0.00%,1.89%,1.94%,0.79%,0.61%,1.12%,1.59%,1.87%,K-6,Yes
32354,Mead,3562,Colbert Elementary School,170,0.48%,0.00%,0.00%,0.00%,0.00%,0.25%,0.49%,0.59%,0.71%,0.15%,1.13%,K-6,Yes
6037,Vancouver,3565,Washington Elementary,161,1.39%,0.00%,0.31%,2.66%,2.93%,1.27%,1.21%,2.31%,1.68%,1.40%,1.59%,K-5,Yes
15201,Oak Harbor,3566,Olympic View Elem,165,0.45%,2.42%,0.02%,1.52%,0.40%,0.44%,0.41%,0.66%,0.84%,0.25%,0.67%,K-5,Yes
17210,Federal Way,3567,Sunnycrest Elementary School,159,0.57%,0.00%,0.48%,0.45%,0.79%,0.53%,0.31%,0.81%,0.34%,0.38%,0.60%,PK-5,Yes
17210,Federal Way,3568,Lake Grove Elementary School,159,1.06%,0.00%,0.80%,1.53%,1.13%,1.17%,0.34%,1.76%,1.77%,1.14%,1.16%,PK-5,Yes
17411,Issaquah,3569,Echo Glen School,166,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12-May,Yes
